,grade_A,grade_B,grade_C,grade_D,grade_E,grade_F,grade_G,home_ownership_MORTGAGE,home_ownership_OTHER,home_ownership_OWN,home_ownership_RENT,term_ 36 months,term_ 60 months,safe_loans
526,0,0,0,0,1,0,0,0,0,0,1,1,0,-1
531,0,0,0,0,0,0,1,0,0,0,1,0,1,-1
542,0,0,1,0,0,0,0,0,0,0,1,1,0,-1
547,0,1,0,0,0,0,0,0,0,0,1,1,0,-1
548,0,0,1,0,0,0,0,0,0,0,1,0,1,-1
558,0,1,0,0,0,0,0,0,0,0,1,0,1,-1
563,0,0,1,0,0,0,0,1,0,0,0,1,0,-1
569,0,0,1,0,0,0,0,0,0,0,1,1,0,-1
573,0,0,0,1,0,0,0,1,0,0,0,1,0,-1
606,0,1,0,0,0,0,0,0,0,0,1,1,0,-1
607,0,1,0,0,0,0,0,0,0,0,1,1,0,-1
611,0,1,0,0,0,0,0,0,0,1,0,1,0,-1
613,0,0,1,0,0,0,0,1,0,0,0,1,0,-1
633,0,0,1,0,0,0,0,0,0,0,1,1,0,-1
638,0,1,0,0,0,0,0,0,0,0,1,1,0,-1
643,0,1,0,0,0,0,0,1,0,0,0,1,0,-1
658,0,0,1,0,0,0,0,0,0,1,0,1,0,-1
665,0,0,0,0,0,1,0,1,0,0,0,0,1,-1
670,0,0,0,1,0,0,0,0,0,0,1,0,1,-1
678,1,0,0,0,0,0,0,0,0,0,1,1,0,-1
681,0,0,0,0,1,0,0,0,0,0,1,1,0,-1
692,1,0,0,0,0,0,0,0,0,0,1,1,0,-1
695,0,0,1,0,0,0,0,0,0,0,1,1,0,-1
700,0,0,1,0,0,0,0,1,0,0,0,0,1,-1
706,0,1,0,0,0,0,0,0,0,0,1,1,0,-1
708,0,0,0,1,0,0,0,0,0,0,1,0,1,-1
715,0,0,1,0,0,0,0,0,0,0,1,0,1,-1
719,0,0,0,0,1,0,0,1,0,0,0,0,1,-1
722,0,0,0,0,1,0,0,1,0,0,0,0,1,-1
729,0,0,1,0,0,0,0,0,0,1,0,1,0,-1
757,1,0,0,0,0,0,0,1,0,0,0,1,0,-1
766,0,0,0,1,0,0,0,0,0,0,1,1,0,-1
781,0,1,0,0,0,0,0,0,0,0,1,1,0,-1
785,0,0,1,0,0,0,0,0,0,0,1,1,0,-1
787,0,0,0,0,0,1,0,1,0,0,0,1,0,-1
796,0,0,0,0,0,1,0,1,0,0,0,0,1,-1
800,0,0,1,0,0,0,0,0,0,0,1,0,1,-1
805,0,1,0,0,0,0,0,0,0,0,1,1,0,-1
812,0,0,0,1,0,0,0,0,0,0,1,0,1,-1
824,0,0,0,1,0,0,0,0,0,0,1,0,1,-1
830,0,0,1,0,0,0,0,1,0,0,0,1,0,-1
832,0,0,1,0,0,0,0,0,0,0,1,1,0,-1
836,0,1,0,0,0,0,0,0,0,0,1,1,0,-1
844,0,0,0,0,1,0,0,0,0,1,0,0,1,-1
868,1,0,0,0,0,0,0,0,0,0,1,1,0,-1
876,0,0,0,1,0,0,0,0,0,1,0,0,1,-1
891,1,0,0,0,0,0,0,1,0,0,0,1,0,-1
915,0,0,0,0,0,1,0,0,0,0,1,1,0,-1
918,0,0,0,1,0,0,0,0,0,0,1,0,1,-1
928,0,0,0,1,0,0,0,1,0,0,0,0,1,-1
931,0,0,1,0,0,0,0,0,0,0,1,1,0,-1
934,0,1,0,0,0,0,0,1,0,0,0,0,1,-1
935,0,1,0,0,0,0,0,0,0,0,1,1,0,-1
948,0,0,0,1,0,0,0,0,0,1,0,0,1,-1
950,1,0,0,0,0,0,0,0,0,0,1,1,0,-1
952,0,0,1,0,0,0,0,0,0,0,1,1,0,-1
957,0,1,0,0,0,0,0,1,0,0,0,1,0,-1
963,0,0,0,1,0,0,0,0,0,0,1,0,1,-1
967,1,0,0,0,0,0,0,0,0,0,1,1,0,-1
970,0,0,0,0,1,0,0,0,0,0,1,1,0,-1
973,0,0,0,1,0,0,0,1,0,0,0,1,0,-1
975,0,0,1,0,0,0,0,0,0,1,0,1,0,-1
979,0,1,0,0,0,0,0,0,0,0,1,1,0,-1
980,0,1,0,0,0,0,0,1,0,0,0,1,0,-1
992,0,1,0,0,0,0,0,0,0,0,1,0,1,-1
994,0,0,0,0,1,0,0,1,0,0,0,0,1,-1
1006,0,0,1,0,0,0,0,0,0,0,1,1,0,-1
1009,0,0,1,0,0,0,0,1,0,0,0,0,1,-1
1011,0,0,0,1,0,0,0,0,0,0,1,0,1,-1
1017,1,0,0,0,0,0,0,0,0,0,1,1,0,-1
1049,0,1,0,0,0,0,0,0,0,0,1,1,0,-1
1051,1,0,0,0,0,0,0,0,0,0,1,1,0,-1
1053,0,0,0,0,1,0,0,1,0,0,0,0,1,-1
1055,0,0,1,0,0,0,0,0,0,0,1,0,1,-1
1067,1,0,0,0,0,0,0,1,0,0,0,1,0,-1
1083,1,0,0,0,0,0,0,0,0,1,0,1,0,-1
1089,0,1,0,0,0,0,0,1,0,0,0,1,0,-1
1092,0,0,0,1,0,0,0,0,0,0,1,1,0,-1
1093,0,0,1,0,0,0,0,0,0,0,1,1,0,-1
1096,0,0,0,1,0,0,0,0,0,0,1,0,1,-1
1100,0,1,0,0,0,0,0,0,0,0,1,1,0,-1
1119,1,0,0,0,0,0,0,0,0,0,1,1,0,-1
1120,0,0,0,0,0,1,0,0,0,0,1,0,1,-1
1122,0,0,0,1,0,0,0,0,0,0,1,0,1,-1
1123,0,0,1,0,0,0,0,1,0,0,0,0,1,-1
1129,0,1,0,0,0,0,0,0,0,0,1,1,0,-1
1132,0,0,1,0,0,0,0,0,0,0,1,1,0,-1
1147,0,0,0,0,1,0,0,0,0,0,1,0,1,-1
1150,0,0,1,0,0,0,0,0,0,0,1,1,0,-1
1167,1,0,0,0,0,0,0,0,0,0,1,1,0,-1
1179,0,1,0,0,0,0,0,1,0,0,0,1,0,-1
1186,0,0,1,0,0,0,0,0,0,0,1,1,0,-1
1190,0,1,0,0,0,0,0,0,0,0,1,1,0,-1
1193,0,0,1,0,0,0,0,1,0,0,0,1,0,-1
1214,0,0,0,0,0,1,0,0,0,0,1,0,1,-1
1215,0,1,0,0,0,0,0,0,0,0,1,1,0,-1
1222,0,0,1,0,0,0,0,1,0,0,0,1,0,-1
1246,0,0,0,0,1,0,0,1,0,0,0,0,1,-1
1249,0,0,1,0,0,0,0,0,0,0,1,0,1,-1
1251,0,0,0,1,0,0,0,0,0,0,1,1,0,-1
1278,1,0,0,0,0,0,0,0,0,0,1,1,0,-1
1289,0,0,0,0,1,0,0,0,0,0,1,0,1,-1
1299,0,0,0,0,1,0,0,1,0,0,0,0,1,-1
1302,1,0,0,0,0,0,0,1,0,0,0,1,0,-1
1308,0,0,0,1,0,0,0,0,0,0,1,0,1,-1
1309,1,0,0,0,0,0,0,0,0,0,1,1,0,-1
1319,0,0,0,0,0,1,0,1,0,0,0,0,1,-1
1323,0,1,0,0,0,0,0,1,0,0,0,1,0,-1
1325,0,1,0,0,0,0,0,1,0,0,0,1,0,-1
1327,0,0,1,0,0,0,0,0,0,0,1,0,1,-1
1329,0,0,0,1,0,0,0,0,0,1,0,0,1,-1
1334,1,0,0,0,0,0,0,0,0,0,1,1,0,-1
1338,0,0,1,0,0,0,0,1,0,0,0,0,1,-1
1339,0,0,1,0,0,0,0,1,0,0,0,0,1,-1
1347,0,0,0,1,0,0,0,0,0,0,1,0,1,-1
1350,0,1,0,0,0,0,0,0,0,0,1,0,1,-1
1356,0,0,0,0,1,0,0,1,0,0,0,0,1,-1
1366,0,1,0,0,0,0,0,1,0,0,0,0,1,-1
1368,0,0,1,0,0,0,0,1,0,0,0,0,1,-1
1379,0,0,0,0,1,0,0,1,0,0,0,0,1,-1
1415,0,1,0,0,0,0,0,0,0,0,1,1,0,-1
1422,0,0,0,1,0,0,0,0,0,0,1,1,0,-1
1425,0,1,0,0,0,0,0,0,0,0,1,1,0,-1
1428,0,0,0,1,0,0,0,1,0,0,0,0,1,-1
1429,0,0,0,0,0,0,1,1,0,0,0,0,1,-1
1431,0,1,0,0,0,0,0,0,0,0,1,1,0,-1
1435,0,0,0,1,0,0,0,1,0,0,0,1,0,-1
1441,0,0,0,1,0,0,0,0,0,0,1,0,1,-1
1442,1,0,0,0,0,0,0,0,0,0,1,1,0,-1
1454,1,0,0,0,0,0,0,0,0,0,1,1,0,-1
1456,0,0,0,0,0,1,0,0,0,0,1,0,1,-1
1457,0,0,1,0,0,0,0,1,0,0,0,0,1,-1
1461,0,0,1,0,0,0,0,0,0,0,1,1,0,-1
1468,0,1,0,0,0,0,0,0,0,0,1,1,0,-1
1469,0,0,1,0,0,0,0,0,0,0,1,1,0,-1
1473,0,0,0,0,1,0,0,1,0,0,0,0,1,-1
1476,0,0,0,0,0,1,0,0,0,0,1,1,0,-1
1477,0,1,0,0,0,0,0,1,0,0,0,1,0,-1
1479,0,1,0,0,0,0,0,0,0,0,1,1,0,-1
1492,0,0,0,0,0,1,0,1,0,0,0,0,1,-1
1495,0,0,1,0,0,0,0,0,0,0,1,0,1,-1
1507,0,0,0,1,0,0,0,0,0,0,1,0,1,-1
1512,0,0,0,0,1,0,0,0,0,0,1,0,1,-1
1523,0,0,0,0,0,1,0,1,0,0,0,0,1,-1
1539,0,0,0,0,1,0,0,0,0,1,0,0,1,-1
1548,1,0,0,0,0,0,0,1,0,0,0,1,0,-1
1550,0,0,0,1,0,0,0,1,0,0,0,1,0,-1
1553,0,0,0,0,1,0,0,0,0,0,1,1,0,-1
1555,0,0,0,0,1,0,0,0,0,0,1,0,1,-1
1563,0,0,0,0,0,1,0,0,0,0,1,0,1,-1
1571,0,0,0,0,0,1,0,1,0,0,0,0,1,-1
1577,0,0,0,1,0,0,0,0,0,0,1,1,0,-1
1593,0,0,0,1,0,0,0,0,0,0,1,1,0,-1
1607,0,0,1,0,0,0,0,1,0,0,0,0,1,-1
1615,0,1,0,0,0,0,0,0,0,0,1,1,0,-1
1626,0,0,0,1,0,0,0,0,0,0,1,0,1,-1
1629,0,0,0,1,0,0,0,0,0,1,0,1,0,-1
1634,0,0,0,1,0,0,0,0,0,0,1,0,1,-1
1644,0,0,0,0,0,1,0,1,0,0,0,0,1,-1
1649,0,0,0,0,1,0,0,1,0,0,0,0,1,-1
1658,0,0,0,0,1,0,0,0,0,0,1,1,0,-1
1661,1,0,0,0,0,0,0,0,0,1,0,1,0,-1
1668,0,0,0,1,0,0,0,0,0,0,1,1,0,-1
1672,1,0,0,0,0,0,0,1,0,0,0,1,0,-1
1676,0,0,0,1,0,0,0,1,0,0,0,0,1,-1
1691,0,0,0,1,0,0,0,0,0,0,1,1,0,-1
1693,0,1,0,0,0,0,0,0,0,0,1,1,0,-1
1697,0,0,0,0,1,0,0,0,0,0,1,0,1,-1
1699,0,0,0,0,0,1,0,0,0,1,0,0,1,-1
1704,0,0,0,0,1,0,0,0,0,1,0,0,1,-1
1708,0,0,0,1,0,0,0,1,0,0,0,0,1,-1
1713,0,0,1,0,0,0,0,0,0,0,1,0,1,-1
1720,0,0,0,0,1,0,0,1,0,0,0,1,0,-1
1722,0,0,0,1,0,0,0,1,0,0,0,1,0,-1
1729,1,0,0,0,0,0,0,0,0,0,1,1,0,-1
1733,0,1,0,0,0,0,0,0,0,0,1,0,1,-1
1740,0,1,0,0,0,0,0,0,0,0,1,1,0,-1
1747,0,0,0,0,1,0,0,0,0,0,1,0,1,-1
1762,0,1,0,0,0,0,0,0,0,0,1,1,0,-1
1771,1,0,0,0,0,0,0,0,0,0,1,1,0,-1
1772,0,1,0,0,0,0,0,0,0,0,1,1,0,-1
1774,0,0,0,0,1,0,0,1,0,0,0,0,1,-1
1775,0,0,0,1,0,0,0,0,0,0,1,0,1,-1
1784,0,0,0,0,0,1,0,1,0,0,0,0,1,-1
1796,0,0,1,0,0,0,0,1,0,0,0,0,1,-1
1848,1,0,0,0,0,0,0,0,0,0,1,1,0,-1
1864,1,0,0,0,0,0,0,0,0,0,1,1,0,-1
1875,0,0,1,0,0,0,0,1,0,0,0,1,0,-1
1888,0,0,0,0,0,1,0,0,0,0,1,0,1,-1
1893,0,0,1,0,0,0,0,1,0,0,0,1,0,-1
1901,0,0,1,0,0,0,0,0,0,0,1,1,0,-1
1910,0,0,0,0,0,1,0,0,0,0,1,0,1,-1
1911,1,0,0,0,0,0,0,0,0,0,1,1,0,-1
1915,0,0,0,0,1,0,0,0,0,0,1,0,1,-1
1916,0,0,1,0,0,0,0,1,0,0,0,1,0,-1
1917,0,1,0,0,0,0,0,0,0,0,1,1,0,-1
1925,0,0,0,1,0,0,0,0,0,0,1,0,1,-1
1957,0,0,1,0,0,0,0,0,0,1,0,1,0,-1
1963,0,0,1,0,0,0,0,0,0,0,1,1,0,-1
1968,0,0,1,0,0,0,0,1,0,0,0,1,0,-1
1973,0,1,0,0,0,0,0,0,0,0,1,1,0,-1
1997,0,0,0,0,1,0,0,0,0,1,0,0,1,-1
2005,0,0,1,0,0,0,0,0,0,0,1,0,1,-1
2006,0,0,0,0,1,0,0,0,0,0,1,0,1,-1
2014,0,1,0,0,0,0,0,0,0,0,1,1,0,-1
2020,1,0,0,0,0,0,0,1,0,0,0,1,0,-1
2026,0,0,0,1,0,0,0,0,0,1,0,0,1,-1
2027,0,0,1,0,0,0,0,0,0,0,1,1,0,-1
2028,0,0,0,1,0,0,0,0,0,0,1,1,0,-1
2033,0,0,0,0,0,1,0,1,0,0,0,0,1,-1
2045,1,0,0,0,0,0,0,1,0,0,0,0,1,-1
2050,0,0,1,0,0,0,0,1,0,0,0,0,1,-1
2059,0,0,1,0,0,0,0,0,0,0,1,1,0,-1
2063,0,0,0,0,1,0,0,1,0,0,0,0,1,-1
2072,0,1,0,0,0,0,0,0,0,0,1,1,0,-1
2075,0,0,0,0,0,0,1,1,0,0,0,0,1,-1
2076,0,0,0,0,0,1,0,0,0,0,1,0,1,-1
2084,0,1,0,0,0,0,0,0,0,0,1,1,0,-1
2095,0,0,0,1,0,0,0,1,0,0,0,0,1,-1
2096,0,0,0,1,0,0,0,0,0,0,1,1,0,-1
2107,0,1,0,0,0,0,0,1,0,0,0,1,0,-1
2110,0,1,0,0,0,0,0,0,0,0,1,0,1,-1
2111,1,0,0,0,0,0,0,1,0,0,0,1,0,-1
2115,0,1,0,0,0,0,0,0,0,0,1,1,0,-1
2116,0,1,0,0,0,0,0,1,0,0,0,0,1,-1
2122,0,0,0,1,0,0,0,1,0,0,0,0,1,-1
2126,0,1,0,0,0,0,0,0,0,0,1,1,0,-1
2151,0,0,0,0,1,0,0,0,0,0,1,0,1,-1
2153,0,0,0,1,0,0,0,0,0,0,1,0,1,-1
2159,0,0,1,0,0,0,0,1,0,0,0,0,1,-1
2165,0,0,0,1,0,0,0,1,0,0,0,0,1,-1
2166,1,0,0,0,0,0,0,0,0,0,1,1,0,-1
2169,0,0,1,0,0,0,0,0,0,0,1,1,0,-1
2173,0,0,0,0,1,0,0,0,0,0,1,0,1,-1
2175,0,0,1,0,0,0,0,1,0,0,0,1,0,-1
2204,0,0,0,0,0,0,1,0,0,0,1,0,1,-1
2225,0,0,1,0,0,0,0,1,0,0,0,0,1,-1
2284,0,0,0,0,0,1,0,0,0,0,1,0,1,-1
2289,0,0,0,1,0,0,0,0,0,1,0,1,0,-1
2294,0,0,0,0,0,1,0,1,0,0,0,0,1,-1
2298,0,0,1,0,0,0,0,0,0,0,1,1,0,-1
2308,0,0,0,1,0,0,0,0,0,0,1,0,1,-1
2314,0,0,1,0,0,0,0,0,0,0,1,0,1,-1
2320,0,0,0,0,0,0,1,0,0,0,1,0,1,-1
2331,1,0,0,0,0,0,0,0,0,0,1,1,0,-1
2343,0,1,0,0,0,0,0,0,0,0,1,1,0,-1
2345,0,1,0,0,0,0,0,0,0,0,1,1,0,-1
2351,0,1,0,0,0,0,0,0,0,0,1,1,0,-1
2354,0,0,1,0,0,0,0,0,0,0,1,1,0,-1
2365,0,0,1,0,0,0,0,0,0,0,1,1,0,-1
2366,0,0,0,0,0,0,1,0,0,0,1,0,1,-1
2367,0,0,0,0,1,0,0,0,0,1,0,1,0,-1
2372,0,1,0,0,0,0,0,1,0,0,0,1,0,-1
2384,0,0,1,0,0,0,0,0,0,0,1,1,0,-1
2386,0,0,0,0,0,1,0,0,0,0,1,0,1,-1
2403,0,1,0,0,0,0,0,1,0,0,0,1,0,-1
2413,1,0,0,0,0,0,0,1,0,0,0,1,0,-1
2417,0,0,0,1,0,0,0,0,0,0,1,0,1,-1
2447,0,0,0,0,1,0,0,1,0,0,0,0,1,-1
2482,0,1,0,0,0,0,0,1,0,0,0,1,0,-1
2491,0,0,0,1,0,0,0,1,0,0,0,0,1,-1
2503,0,0,0,0,1,0,0,0,0,0,1,1,0,-1
2509,0,1,0,0,0,0,0,1,0,0,0,1,0,-1
2520,0,0,0,1,0,0,0,1,0,0,0,0,1,-1
2525,0,0,1,0,0,0,0,1,0,0,0,0,1,-1
2534,0,0,0,0,0,0,1,0,0,0,1,0,1,-1
2535,0,1,0,0,0,0,0,0,0,0,1,1,0,-1
2539,0,0,0,1,0,0,0,0,0,0,1,0,1,-1
2542,0,0,0,0,0,1,0,0,0,1,0,0,1,-1
2546,0,0,1,0,0,0,0,0,0,0,1,1,0,-1
2551,0,0,0,0,1,0,0,1,0,0,0,0,1,-1
2552,0,0,1,0,0,0,0,1,0,0,0,0,1,-1
2562,0,0,1,0,0,0,0,1,0,0,0,0,1,-1
2571,0,0,1,0,0,0,0,1,0,0,0,1,0,-1
2574,0,1,0,0,0,0,0,0,0,1,0,1,0,-1
2590,0,1,0,0,0,0,0,1,0,0,0,0,1,-1
2606,1,0,0,0,0,0,0,0,0,0,1,1,0,-1
2607,0,0,0,1,0,0,0,1,0,0,0,0,1,-1
2609,1,0,0,0,0,0,0,0,0,0,1,1,0,-1
2610,0,0,0,0,0,0,1,0,0,0,1,0,1,-1
2616,0,0,1,0,0,0,0,1,0,0,0,0,1,-1
2627,0,1,0,0,0,0,0,0,0,0,1,1,0,-1
2629,0,0,0,0,1,0,0,0,0,0,1,1,0,-1
2650,0,0,0,0,1,0,0,0,0,0,1,0,1,-1
2664,0,1,0,0,0,0,0,1,0,0,0,1,0,-1
2671,1,0,0,0,0,0,0,0,0,0,1,1,0,-1
2679,0,1,0,0,0,0,0,0,0,0,1,1,0,-1
2682,0,0,0,1,0,0,0,0,0,0,1,0,1,-1
2683,0,0,1,0,0,0,0,1,0,0,0,0,1,-1
2687,0,0,0,0,1,0,0,0,0,0,1,0,1,-1
2690,0,0,1,0,0,0,0,0,0,0,1,0,1,-1
2691,0,0,0,1,0,0,0,0,0,0,1,1,0,-1
2693,0,0,1,0,0,0,0,1,0,0,0,0,1,-1
2694,0,0,0,1,0,0,0,0,0,0,1,0,1,-1
2696,0,0,0,1,0,0,0,1,0,0,0,0,1,-1
2699,0,0,1,0,0,0,0,1,0,0,0,1,0,-1
2708,0,0,0,0,1,0,0,1,0,0,0,0,1,-1
2710,0,0,0,0,1,0,0,0,0,0,1,1,0,-1
2712,0,0,0,1,0,0,0,1,0,0,0,1,0,-1
2713,0,0,0,0,1,0,0,0,0,0,1,0,1,-1
2723,0,1,0,0,0,0,0,1,0,0,0,0,1,-1
2734,0,0,1,0,0,0,0,1,0,0,0,0,1,-1
2736,0,0,0,1,0,0,0,0,0,0,1,0,1,-1
2745,0,1,0,0,0,0,0,0,0,0,1,1,0,-1
2768,0,1,0,0,0,0,0,1,0,0,0,1,0,-1
2771,1,0,0,0,0,0,0,0,0,0,1,0,1,-1
2776,0,0,0,0,1,0,0,0,0,0,1,0,1,-1
2780,0,1,0,0,0,0,0,0,0,0,1,1,0,-1
2796,0,0,1,0,0,0,0,1,0,0,0,0,1,-1
2807,0,0,0,1,0,0,0,1,0,0,0,1,0,-1
2809,0,1,0,0,0,0,0,0,0,0,1,1,0,-1
2810,0,1,0,0,0,0,0,0,0,0,1,1,0,-1
2814,0,0,0,1,0,0,0,1,0,0,0,0,1,-1
2815,0,0,1,0,0,0,0,0,0,0,1,1,0,-1
2825,0,0,0,1,0,0,0,0,0,0,1,1,0,-1
2838,0,0,0,0,1,0,0,1,0,0,0,0,1,-1
2839,0,0,1,0,0,0,0,0,0,1,0,0,1,-1
2850,0,0,0,1,0,0,0,1,0,0,0,0,1,-1
2854,0,1,0,0,0,0,0,0,0,0,1,1,0,-1
2868,1,0,0,0,0,0,0,1,0,0,0,1,0,-1
2869,0,0,0,0,0,1,0,0,0,0,1,0,1,-1
2874,0,0,0,1,0,0,0,1,0,0,0,0,1,-1
2885,0,0,0,0,0,1,0,1,0,0,0,0,1,-1
2891,0,0,0,0,1,0,0,1,0,0,0,0,1,-1
2895,0,0,1,0,0,0,0,1,0,0,0,1,0,-1
2900,0,1,0,0,0,0,0,0,0,0,1,1,0,-1
2906,0,0,1,0,0,0,0,0,0,0,1,1,0,-1
2919,0,0,0,1,0,0,0,0,0,0,1,0,1,-1
2932,0,0,0,0,1,0,0,1,0,0,0,0,1,-1
2934,0,1,0,0,0,0,0,0,0,0,1,1,0,-1
2939,0,0,0,0,1,0,0,0,0,0,1,0,1,-1
2964,0,0,1,0,0,0,0,0,0,0,1,1,0,-1
2990,0,0,0,1,0,0,0,0,0,0,1,1,0,-1
3013,0,0,1,0,0,0,0,1,0,0,0,0,1,-1
3020,0,0,1,0,0,0,0,1,0,0,0,0,1,-1
3038,0,0,0,0,0,1,0,1,0,0,0,0,1,-1
3053,0,0,0,1,0,0,0,0,0,0,1,0,1,-1
3065,0,0,0,0,0,1,0,0,0,0,1,0,1,-1
3068,0,0,1,0,0,0,0,1,0,0,0,1,0,-1
3070,1,0,0,0,0,0,0,0,0,0,1,1,0,-1
3077,0,0,0,0,1,0,0,0,0,1,0,1,0,-1
3083,0,1,0,0,0,0,0,1,0,0,0,1,0,-1
3087,0,1,0,0,0,0,0,1,0,0,0,0,1,-1
3103,0,0,0,1,0,0,0,0,0,0,1,1,0,-1
3105,0,0,0,0,1,0,0,0,0,0,1,0,1,-1
